Data,ID_Produto,Nome_Produto,Quantidade_Vendida,Estoque_Disponível,Categoria
2023-01-08,1010,Camiseta Básica,3,55,Camisetas
2023-01-09,1001,Camisa Social Azul,15,38,Camisas
2023-01-09,1002,Calça Jeans,11,34,Calças
2023-01-09,1003,Jaqueta de Couro,19,17,Jaquetas
2023-01-09,1004,Camisa Social Branca,16,72,Camisas
2023-01-09,1005,Saia Longa,12,19,Saias
2023-01-09,1006,Blusa de Algodão,15,15,Blusas
2023-01-09,1007,Calça de Moletom,16,42,Calças
2023-01-09,1008,Vestido Floral,11,12,Vestidos
2023-01-09,1009,Terno Completo,9,63,Ternos
2023-01-09,1010,Camiseta Básica,13,50,Camisetas
2023-01-10,1001,Camisa Social Azul,10,95,Camisas
2023-01-10,1002,Calça Jeans,17,52,Calças
2023-01-10,1003,Jaqueta de Couro,1,84,Jaquetas
2023-01-10,1004,Camisa Social Branca,13,89,Camisas
2023-01-10,1005,Saia Longa,12,23,Saias
2023-01-10,1006,Blusa de Algodão,5,43,Blusas
2023-01-10,1007,Calça de Moletom,9,56,Calças
2023-01-10,1008,Vestido Floral,17,73,Vestidos
2023-01-10,1009,Terno Completo,6,13,Ternos
2023-01-10,1010,Camiseta Básica,2,65,Camisetas
2023-01-11,1001,Camisa Social Azul,13,19,Camisas
2023-01-11,1002,Calça Jeans,10,24,Calças
2023-01-11,1003,Jaqueta de Couro,2,87,Jaquetas
2023-01-11,1004,Camisa Social Branca,6,46,Camisas
2023-01-11,1005,Saia Longa,16,82,Saias
2023-01-11,1006,Blusa de Algodão,10,65,Blusas
2023-01-11,1007,Calça de Moletom,17,19,Calças
2023-01-11,1008,Vestido Floral,8,75,Vestidos
2023-01-11,1009,Terno Completo,5,90,Ternos
2023-01-11,1010,Camiseta Básica,19,57,Camisetas
2023-01-12,1001,Camisa Social Azul,2,12,Camisas
2023-01-12,1002,Calça Jeans,19,77,Calças
2023-01-12,1003,Jaqueta de Couro,13,47,Jaquetas
2023-01-12,1004,Camisa Social Branca,12,39,Camisas
2023-01-12,1005,Saia Longa,18,75,Saias
2023-01-12,1006,Blusa de Algodão,17,42,Blusas
2023-01-12,1007,Calça de Moletom,8,94,Calças
2023-01-12,1008,Vestido Floral,14,57,Vestidos
2023-01-12,1009,Terno Completo,5,70,Ternos
2023-01-12,1010,Camiseta Básica,7,85,Camisetas
2023-01-13,1001,Camisa Social Azul,7,18,Camisas
2023-01-13,1002,Calça Jeans,10,46,Calças
2023-01-13,1003,Jaqueta de Couro,3,58,Jaquetas
2023-01-13,1004,Camisa Social Branca,2,42,Camisas
2023-01-13,1005,Saia Longa,15,35,Saias
2023-01-13,1006,Blusa de Algodão,11,74,Blusas
2023-01-13,1007,Calça de Moletom,18,47,Calças
2023-01-13,1008,Vestido Floral,14,32,Vestidos
2023-01-13,1009,Terno Completo,11,40,Ternos
2023-01-13,1010,Camiseta Básica,18,16,Camisetas
2023-01-14,1001,Camisa Social Azul,17,57,Camisas
2023-01-14,1002,Calça Jeans,14,28,Calças
2023-01-14,1003,Jaqueta de Couro,18,95,Jaquetas
2023-01-14,1004,Camisa Social Branca,15,91,Camisas
2023-01-14,1005,Saia Longa,19,28,Saias
2023-01-14,1006,Blusa de Algodão,2,13,Blusas
2023-01-14,1007,Calça de Moletom,10,86,Calças
2023-01-14,1008,Vestido Floral,15,50,Vestidos
2023-01-14,1009,Terno Completo,8,33,Ternos
2023-01-14,1010,Camiseta Básica,18,15,Camisetas
2023-01-15,1001,Camisa Social Azul,15,96,Camisas
2023-01-15,1002,Calça Jeans,10,32,Calças
2023-01-15,1003,Jaqueta de Couro,2,52,Jaquetas
2023-01-15,1004,Camisa Social Branca,11,94,Camisas
2023-01-15,1005,Saia Longa,17,46,Saias
2023-01-15,1006,Blusa de Algodão,1,82,Blusas
2023-01-15,1007,Calça de Moletom,18,53,Calças
2023-01-15,1008,Vestido Floral,11,59,Vestidos
2023-01-15,1009,Terno Completo,8,24,Ternos
2023-01-15,1010,Camiseta Básica,12,11,Camisetas
2023-01-16,1001,Camisa Social Azul,1,51,Camisas
2023-01-16,1002,Calça Jeans,15,42,Calças
2023-01-16,1003,Jaqueta de Couro,7,66,Jaquetas
2023-01-16,1004,Camisa Social Branca,7,68,Camisas
2023-01-16,1005,Saia Longa,8,96,Saias
2023-01-16,1006,Blusa de Algodão,15,62,Blusas
2023-01-16,1007,Calça de Moletom,17,81,Calças
2023-01-16,1008,Vestido Floral,15,15,Vestidos
2023-01-16,1009,Terno Completo,9,53,Ternos
2023-01-16,1010,Camiseta Básica,2,35,Camisetas
2023-01-17,1001,Camisa Social Azul,14,96,Camisas
2023-01-17,1002,Calça Jeans,19,59,Calças
2023-01-17,1003,Jaqueta de Couro,16,85,Jaquetas
2023-01-17,1004,Camisa Social Branca,8,15,Camisas
2023-01-17,1005,Saia Longa,19,46,Saias
2023-01-17,1006,Blusa de Algodão,5,14,Blusas
2023-01-17,1007,Calça de Moletom,18,92,Calças
2023-01-17,1008,Vestido Floral,11,58,Vestidos
2023-01-17,1009,Terno Completo,19,57,Ternos
2023-01-17,1010,Camiseta Básica,6,31,Camisetas
2023-01-18,1001,Camisa Social Azul,19,89,Camisas
2023-01-18,1002,Calça Jeans,5,67,Calças
2023-01-18,1003,Jaqueta de Couro,8,88,Jaquetas
2023-01-18,1004,Camisa Social Branca,12,88,Camisas
2023-01-18,1005,Saia Longa,7,12,Saias
2023-01-18,1006,Blusa de Algodão,16,93,Blusas
2023-01-18,1007,Calça de Moletom,17,30,Calças
2023-01-18,1008,Vestido Floral,3,30,Vestidos
2023-01-18,1009,Terno Completo,2,52,Ternos
2023-01-18,1010,Camiseta Básica,5,61,Camisetas
2023-01-19,1001,Camisa Social Azul,4,63,Camisas
2023-01-19,1002,Calça Jeans,7,58,Calças
2023-01-19,1003,Jaqueta de Couro,13,20,Jaquetas
2023-01-19,1004,Camisa Social Branca,11,86,Camisas
2023-01-19,1005,Saia Longa,9,61,Saias
2023-01-19,1006,Blusa de Algodão,8,64,Blusas
2023-01-19,1007,Calça de Moletom,6,71,Calças
2023-01-19,1008,Vestido Floral,14,34,Vestidos
2023-01-19,1009,Terno Completo,1,73,Ternos
2023-01-19,1010,Camiseta Básica,12,97,Camisetas
2023-01-20,1001,Camisa Social Azul,15,54,Camisas
2023-01-20,1002,Calça Jeans,16,27,Calças
2023-01-20,1003,Jaqueta de Couro,17,33,Jaquetas
2023-01-20,1004,Camisa Social Branca,14,18,Camisas
2023-01-20,1005,Saia Longa,13,76,Saias
2023-01-20,1006,Blusa de Algodão,16,66,Blusas
2023-01-20,1007,Calça de Moletom,18,54,Calças
2023-01-20,1008,Vestido Floral,11,79,Vestidos
2023-01-20,1009,Terno Completo,8,85,Ternos
2023-01-20,1010,Camiseta Básica,10,18,Camisetas
2023-01-21,1001,Camisa Social Azul,18,56,Camisas
2023-01-21,1002,Calça Jeans,9,20,Calças
2023-01-21,1003,Jaqueta de Couro,17,17,Jaquetas
2023-01-21,1004,Camisa Social Branca,10,69,Camisas
2023-01-21,1005,Saia Longa,18,52,Saias
2023-01-21,1006,Blusa de Algodão,13,18,Blusas
2023-01-21,1007,Calça de Moletom,18,95,Calças
2023-01-21,1008,Vestido Floral,12,62,Vestidos
2023-01-21,1009,Terno Completo,1,80,Ternos
2023-01-21,1010,Camiseta Básica,17,55,Camisetas
2023-01-22,1001,Camisa Social Azul,14,59,Camisas
2023-01-22,1002,Calça Jeans,8,53,Calças
2023-01-22,1003,Jaqueta de Couro,2,66,Jaquetas
2023-01-22,1004,Camisa Social Branca,17,79,Camisas
2023-01-22,1005,Saia Longa,18,95,Saias
2023-01-22,1006,Blusa de Algodão,18,77,Blusas
2023-01-22,1007,Calça de Moletom,2,28,Calças
2023-01-22,1008,Vestido Floral,13,51,Vestidos
2023-01-22,1009,Terno Completo,16,17,Ternos
2023-01-22,1010,Camiseta Básica,19,77,Camisetas
2023-01-23,1001,Camisa Social Azul,13,57,Camisas
2023-01-23,1002,Calça Jeans,12,61,Calças
2023-01-23,1003,Jaqueta de Couro,11,47,Jaquetas
2023-01-23,1004,Camisa Social Branca,7,91,Camisas
2023-01-23,1005,Saia Longa,12,16,Saias
2023-01-23,1006,Blusa de Algodão,6,30,Blusas
2023-01-23,1007,Calça de Moletom,12,69,Calças
2023-01-23,1008,Vestido Floral,8,23,Vestidos
2023-01-23,1009,Terno Completo,8,84,Ternos
2023-01-23,1010,Camiseta Básica,10,98,Camisetas
2023-01-24,1001,Camisa Social Azul,11,54,Camisas
2023-01-24,1002,Calça Jeans,9,53,Calças
2023-01-24,1003,Jaqueta de Couro,16,99,Jaquetas
2023-01-24,1004,Camisa Social Branca,16,38,Camisas
2023-01-24,1005,Saia Longa,17,46,Saias
2023-01-24,1006,Blusa de Algodão,4,74,Blusas
2023-01-24,1007,Calça de Moletom,13,10,Calças
2023-01-24,1008,Vestido Floral,18,79,Vestidos
2023-01-24,1009,Terno Completo,5,25,Ternos
2023-01-24,1010,Camiseta Básica,2,94,Camisetas
2023-01-25,1001,Camisa Social Azul,2,59,Camisas
2023-01-25,1002,Calça Jeans,6,41,Calças
2023-01-25,1003,Jaqueta de Couro,2,41,Jaquetas
2023-01-25,1004,Camisa Social Branca,5,55,Camisas
2023-01-25,1005,Saia Longa,3,18,Saias
2023-01-25,1006,Blusa de Algodão,2,60,Blusas
2023-01-25,1007,Calça de Moletom,1,53,Calças
2023-01-25,1008,Vestido Floral,6,46,Vestidos
2023-01-25,1009,Terno Completo,15,35,Ternos
2023-01-25,1010,Camiseta Básica,14,99,Camisetas
2023-01-26,1001,Camisa Social Azul,5,22,Camisas
2023-01-26,1002,Calça Jeans,2,37,Calças
2023-01-26,1003,Jaqueta de Couro,1,34,Jaquetas
2023-01-26,1004,Camisa Social Branca,13,53,Camisas
2023-01-26,1005,Saia Longa,14,39,Saias
2023-01-26,1006,Blusa de Algodão,9,35,Blusas
2023-01-26,1007,Calça de Moletom,10,77,Calças
2023-01-26,1008,Vestido Floral,14,23,Vestidos
2023-01-26,1009,Terno Completo,12,13,Ternos
2023-01-26,1010,Camiseta Básica,18,59,Camisetas
2023-01-27,1001,Camisa Social Azul,15,96,Camisas
2023-01-27,1002,Calça Jeans,4,43,Calças
2023-01-27,1003,Jaqueta de Couro,18,39,Jaquetas
2023-01-27,1004,Camisa Social Branca,14,27,Camisas
2023-01-27,1005,Saia Longa,1,88,Saias
2023-01-27,1006,Blusa de Algodão,5,28,Blusas
2023-01-27,1007,Calça de Moletom,11,86,Calças
2023-01-27,1008,Vestido Floral,2,32,Vestidos
2023-01-27,1009,Terno Completo,6,54,Ternos
2023-01-27,1010,Camiseta Básica,16,29,Camisetas
2023-01-28,1001,Camisa Social Azul,2,68,Camisas
2023-01-28,1002,Calça Jeans,2,86,Calças
2023-01-28,1003,Jaqueta de Couro,15,78,Jaquetas
2023-01-28,1004,Camisa Social Branca,12,73,Camisas
2023-01-28,1005,Saia Longa,11,79,Saias
2023-01-28,1006,Blusa de Algodão,18,73,Blusas
2023-01-28,1007,Calça de Moletom,16,56,Calças
2023-01-28,1008,Vestido Floral,9,97,Vestidos
2023-01-28,1009,Terno Completo,10,86,Ternos
2023-01-28,1010,Camiseta Básica,15,29,Camisetas
2023-01-29,1001,Camisa Social Azul,8,15,Camisas
2023-01-29,1002,Calça Jeans,12,37,Calças
2023-01-29,1003,Jaqueta de Couro,10,21,Jaquetas
2023-01-29,1004,Camisa Social Branca,6,49,Camisas
2023-01-29,1005,Saia Longa,3,43,Saias
2023-01-29,1006,Blusa de Algodão,12,96,Blusas
2023-01-29,1007,Calça de Moletom,1,18,Calças
2023-01-29,1008,Vestido Floral,2,57,Vestidos
2023-01-29,1009,Terno Completo,10,97,Ternos
2023-01-29,1010,Camiseta Básica,12,42,Camisetas
2023-01-30,1001,Camisa Social Azul,8,74,Camisas
2023-01-30,1002,Calça Jeans,2,59,Calças
2023-01-30,1003,Jaqueta de Couro,11,45,Jaquetas
2023-01-30,1004,Camisa Social Branca,13,97,Camisas
2023-01-30,1005,Saia Longa,4,62,Saias
2023-01-30,1006,Blusa de Algodão,8,55,Blusas
2023-01-30,1007,Calça de Moletom,17,60,Calças
2023-01-30,1008,Vestido Floral,18,33,Vestidos
2023-01-30,1009,Terno Completo,7,22,Ternos
2023-01-30,1010,Camiseta Básica,6,66,Camisetas
2023-01-31,1001,Camisa Social Azul,18,72,Camisas
2023-01-31,1002,Calça Jeans,12,93,Calças
2023-01-31,1003,Jaqueta de Couro,12,45,Jaquetas
2023-01-31,1004,Camisa Social Branca,9,80,Camisas
2023-01-31,1005,Saia Longa,11,67,Saias
2023-01-31,1006,Blusa de Algodão,10,41,Blusas
2023-01-31,1007,Calça de Moletom,11,40,Calças
2023-01-31,1008,Vestido Floral,16,49,Vestidos
2023-01-31,1009,Terno Completo,6,65,Ternos
2023-01-31,1010,Camiseta Básica,16,54,Camisetas
